instrument,datetime,open,high,low,close,volume
AAPL,12/20/2010,9.678101702,9.727756878,9.576686759,9.696458817,385610400
AAPL,12/21/2010,9.720232453,9.762062308,9.691644085,9.756344795,256354000
AAPL,12/22/2010,9.761161727,9.802089163,9.736785751,9.785236359,265921600
AAPL,12/23/2010,9.780418163,9.784931903,9.725346833,9.738286972,223157200
AAPL,12/27/2010,9.715720505,9.793662717,9.675695497,9.770791054,249816000
AAPL,12/28/2010,9.80780684,9.830377159,9.782227896,9.794566154,175924000
AAPL,12/29/2010,9.817131947,9.824054034,9.783427154,9.78914547,163139200
AAPL,12/30/2010,9.794866097,9.795768524,9.721738976,9.740096092,157494400
AAPL,12/31/2010,9.718727566,9.734677135,9.66937374,9.706991196,193508000
AAPL,1/3/2011,9.799680026,9.938712427,9.775605399,9.917947769,445138400
AAPL,1/4/2011,10.00431471,10.00612037,9.875213045,9.969707489,309080800
AAPL,1/5/2011,9.917344991,10.06149301,9.915839875,10.05126095,255519600
AAPL,1/6/2011,10.07292682,10.08887639,10.01815684,10.04313469,300428800
AAPL,1/7/2011,10.05096118,10.12198209,9.98806532,10.11506081,311931200
AAPL,1/10/2011,10.19661263,10.32902427,10.14665773,10.30555153,448560000
AAPL,1/11/2011,10.37868252,10.38108926,10.21587602,10.28117943,444108000
AAPL,1/12/2011,10.32963219,10.36514185,10.29201472,10.36484051,302590400
AAPL,1/13/2011,10.38710561,10.43164434,10.3476833,10.40275383,296780400
AAPL,1/14/2011,10.40907259,10.48701477,10.36543709,10.48701477,308840000
AAPL,1/18/2011,9.916443847,10.37507042,9.810514349,10.25138569,1880998000
AAPL,1/19/2011,10.48310173,10.49062571,10.13792958,10.19691277,1135612800
AAPL,1/20/2011,10.12438831,10.18066341,9.934497791,10.01153755,764789200
AAPL,1/21/2011,10.04434049,10.07774475,9.829472089,9.832180977,754401200
AAPL,1/24/2011,9.836694308,10.15508461,9.832179763,10.15508461,574683200
AAPL,1/25/2011,10.12137701,10.27515515,10.06841189,10.27395058,546868000
AAPL,1/26/2011,10.32090134,10.40034866,10.27696529,10.34768486,506875600
AAPL,1/27/2011,10.34557111,10.37295649,10.31698276,10.32841778,285026000
AAPL,1/28/2011,10.35731164,10.36423292,10.03711574,10.11445522,592057200
AAPL,1/31/2011,10.10542672,10.23302404,10.06028691,10.21135616,377246800
AAPL,2/1/2011,10.27094604,10.40185258,10.26131587,10.38319492,426633200
AAPL,2/2/2011,10.36573956,10.38981338,10.3386547,10.3618269,258955200
AAPL,2/3/2011,10.34617826,10.35941974,10.18818688,10.33534431,393797600
AAPL,2/4/2011,10.34136684,10.43345378,10.33745498,10.42743492,321840400
AAPL,2/7/2011,10.46925936,10.63056069,10.4617362,10.58933353,485021600
AAPL,2/8/2011,10.64350447,10.69887635,10.59746141,10.68924618,381040800
AAPL,2/9/2011,10.68894515,10.80360237,10.67931578,10.77832317,482745200
AAPL,2/10/2011,10.75515151,10.83369559,10.47257139,10.669384,928550000
AAPL,2/11/2011,10.6757019,10.76748664,10.63928822,10.73889828,367572800
AAPL,2/14/2011,10.73709575,10.81804657,10.7346882,10.80901909,310416400
AAPL,2/15/2011,10.80931622,10.83278976,10.75996321,10.83068275,284174800
AAPL,2/16/2011,10.85776958,10.98115375,10.8487421,10.92788887,481157600
AAPL,2/17/2011,10.75093776,10.84182009,10.72896853,10.78253555,530583200
AAPL,2/18/2011,10.79487543,10.81864952,10.51831494,10.549613,816057200
AAPL,2/22/2011,10.2965233,10.39432772,10.16320924,10.18999195,872555600
AAPL,2/23/2011,10.19480781,10.37145603,10.18999192,10.31066799,671854400
AAPL,2/24/2011,10.35280133,10.38680668,10.18277221,10.31849384,499900800
AAPL,2/25/2011,10.39011466,10.48551153,10.37627209,10.47738647,380018800
AAPL,2/28/2011,10.57007566,10.68473208,10.56646434,10.6293602,403074000
AAPL,3/1/2011,10.69737115,10.70489432,10.46294188,10.51199436,456136800
AAPL,3/2/2011,10.53155272,10.66366379,10.48460645,10.59655476,602590800
AAPL,3/3/2011,10.74913504,10.82737779,10.71091569,10.8204565,500788400
AAPL,3/4/2011,10.83580161,10.84242235,10.76598447,10.83369541,453266800
AAPL,3/7/2011,10.87582886,10.88395472,10.57218506,10.69406414,546123200
AAPL,3/8/2011,10.68052262,10.75545622,10.60047339,10.70610237,356316800
AAPL,3/9/2011,10.67389866,10.67600567,10.55081664,10.60709095,453306000
AAPL,3/10/2011,10.50627656,10.52583825,10.37928189,10.43254757,507539200
AAPL,3/11/2011,10.39222344,10.60257812,10.38229353,10.5926466,471080400
